date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-01,SKU0001,6,1358.0,16,383
2024-01-08,SKU0001,0,1358.0,16,383
2024-01-15,SKU0001,0,1358.0,16,383
2024-01-22,SKU0001,1128,0.0,16,383
2024-01-29,SKU0001,829,0.0,16,383
2024-02-05,SKU0001,544,0.0,16,383
2024-02-12,SKU0001,292,1288.0,16,383
2024-02-19,SKU0001,50,1288.0,16,383
2024-02-26,SKU0001,1263,0.0,16,383
2024-03-04,SKU0001,1022,0.0,16,383
2024-03-11,SKU0001,787,0.0,16,383
2024-03-18,SKU0001,551,0.0,16,383
2024-03-25,SKU0001,328,1102.0,16,383
2024-04-01,SKU0001,85,1102.0,16,383
2024-04-08,SKU0001,0,1102.0,16,383
2024-04-15,SKU0001,784,0.0,16,383
2024-04-22,SKU0001,523,0.0,16,383
2024-04-29,SKU0001,290,1082.0,16,383
2024-05-06,SKU0001,86,1082.0,16,383
2024-05-13,SKU0001,1049,0.0,16,383
2024-05-20,SKU0001,807,0.0,16,383
2024-05-27,SKU0001,546,0.0,16,383
2024-06-03,SKU0001,293,1189.0,16,383
2024-06-10,SKU0001,51,1189.0,16,383
2024-06-17,SKU0001,1155,0.0,16,383
2024-06-24,SKU0001,893,0.0,16,383
2024-07-01,SKU0001,621,0.0,16,383
2024-07-08,SKU0001,323,1395.0,16,383
2024-07-15,SKU0001,0,1395.0,16,383
2024-07-22,SKU0001,0,1395.0,16,383
2024-07-29,SKU0001,1082,0.0,16,383
2024-08-05,SKU0001,751,0.0,16,383
2024-08-12,SKU0001,392,0.0,16,383
2024-08-19,SKU0001,42,1247.0,16,383
2024-08-26,SKU0001,0,1247.0,16,383
2024-09-02,SKU0001,958,0.0,16,383
2024-09-09,SKU0001,462,0.0,16,383
2024-09-16,SKU0001,101,1353.0,16,383
2024-09-23,SKU0001,0,1353.0,16,383
2024-09-30,SKU0001,1114,0.0,16,383
2024-10-07,SKU0001,753,0.0,16,383
2024-10-14,SKU0001,337,1401.0,16,383
2024-10-21,SKU0001,0,1401.0,16,383
2024-10-28,SKU0001,0,1401.0,16,383
2024-11-04,SKU0001,1070,0.0,16,383
2024-11-11,SKU0001,714,0.0,16,383
2024-11-18,SKU0001,325,1768.0,16,383
2024-11-25,SKU0001,0,1768.0,16,383
2024-12-02,SKU0001,0,1768.0,16,383
2024-12-09,SKU0001,1408,,16,383
2024-12-16,SKU0001,1023,0.0,16,383
2024-12-23,SKU0001,604,0.0,16,383
2024-12-30,SKU0001,294,1555.0,16,383
2025-01-06,SKU0001,0,1555.0,16,383
2025-01-13,SKU0001,0,1555.0,16,383
2025-01-20,SKU0001,1265,0.0,16,383
2025-01-27,SKU0001,968,0.0,16,383
2025-02-03,SKU0001,688,0.0,16,383
2025-02-10,SKU0001,452,0.0,16,383
2025-02-17,SKU0001,181,971.0,16,383
2025-02-24,SKU0001,0,971.0,16,383
2025-03-03,SKU0001,857,0.0,16,383
2025-03-10,SKU0001,608,0.0,16,383
2025-03-17,SKU0001,390,0.0,16,383
2025-03-24,SKU0001,120,859.0,16,383
2025-03-31,SKU0001,0,859.0,16,383
2025-04-07,SKU0001,689,0.0,16,383
2025-04-14,SKU0001,375,1144.0,16,383
2025-04-21,SKU0001,135,1144.0,16,383
2025-04-28,SKU0001,0,1144.0,16,383
2025-05-05,SKU0001,975,0.0,16,383
2025-05-12,SKU0001,731,0.0,16,383
2025-05-19,SKU0001,499,0.0,16,383
2025-05-26,SKU0001,261,884.0,16,383
2025-06-02,SKU0001,21,884.0,16,383
2025-06-09,SKU0001,811,0.0,16,383
2025-06-16,SKU0001,530,0.0,16,383
2025-06-23,SKU0001,272,1298.0,16,383
2025-06-30,SKU0001,0,1298.0,16,383
2025-07-07,SKU0001,1259,0.0,16,383
2025-07-14,SKU0001,939,0.0,16,383
2025-07-21,SKU0001,511,0.0,16,383
2025-07-28,SKU0001,180,1160.0,16,383
2025-08-04,SKU0001,0,1160.0,16,383
2025-08-11,SKU0001,1049,0.0,16,383
2025-08-18,SKU0001,726,0.0,16,383
2025-08-25,SKU0001,388,0.0,16,383
2025-09-01,SKU0001,44,1302.0,16,383
2025-09-08,SKU0001,0,1302.0,16,383
2025-09-15,SKU0001,1028,0.0,16,383
2025-09-22,SKU0001,641,0.0,16,383
2025-09-29,SKU0001,267,1814.0,16,383
2025-10-06,SKU0001,0,1814.0,16,383
2025-10-13,SKU0001,0,1814.0,16,383
2025-10-20,SKU0001,1459,0.0,16,383
2025-10-27,SKU0001,1063,0.0,16,383
2025-11-03,SKU0001,680,0.0,16,383
2025-11-10,SKU0001,302,1795.0,16,383
2025-11-17,SKU0001,0,1795.0,16,383
2025-11-24,SKU0001,0,1795.0,16,383
2025-12-01,SKU0001,1346,0.0,16,383
2025-12-08,SKU0001,983,0.0,16,383
2025-12-15,SKU0001,621,0.0,16,383
2025-12-22,SKU0001,190,2234.0,16,383
2025-12-29,SKU0001,0,2234.0,16,383
2024-01-01,SKU0002,25,518.0,22,148
2024-01-08,SKU0002,0,518.0,22,148
2024-01-15,SKU0002,0,518.0,22,148
2024-01-22,SKU0002,0,518.0,22,148
2024-01-29,SKU0002,426,0.0,22,148
2024-02-05,SKU0002,330,0.0,22,148
2024-02-12,SKU0002,240,0.0,22,148
2024-02-19,SKU0002,135,457.0,22,148
2024-02-26,SKU0002,43,457.0,22,148
2024-03-04,SKU0002,0,457.0,22,148
2024-03-11,SKU0002,0,457.0,22,148
2024-03-18,SKU0002,379,0.0,22,148
2024-03-25,SKU0002,287,0.0,22,148
2024-04-01,SKU0002,198,0.0,22,148
2024-04-08,SKU0002,109,566.0,22,148
2024-04-15,SKU0002,11,566.0,22,148
2024-04-22,SKU0002,0,566.0,22,148
2024-04-29,SKU0002,540,0.0,22,148
2024-05-06,SKU0002,448,0.0,22,148
2024-05-13,SKU0002,380,0.0,22,148
2024-05-20,SKU0002,283,0.0,22,148
2024-05-27,SKU0002,208,0.0,22,148
2024-06-03,SKU0002,124,516.0,22,148
2024-06-10,SKU0002,40,516.0,22,148
2024-06-17,SKU0002,0,516.0,22,148
2024-06-24,SKU0002,494,0.0,22,148
2024-07-01,SKU0002,410,0.0,22,148
2024-07-08,SKU0002,322,0.0,22,148
2024-07-15,SKU0002,247,0.0,22,148
2024-07-22,SKU0002,143,377.0,22,148
2024-07-29,SKU0002,57,377.0,22,148
2024-08-05,SKU0002,0,377.0,22,148
2024-08-12,SKU0002,0,377.0,22,148
2024-08-19,SKU0002,312,0.0,22,148
2024-08-26,SKU0002,230,0.0,22,148
2024-09-02,SKU0002,152,0.0,22,148
2024-09-09,SKU0002,38,383.0,22,148
2024-09-16,SKU0002,0,383.0,22,148
2024-09-23,SKU0002,0,383.0,22,148
2024-09-30,SKU0002,302,0.0,22,148
2024-10-07,SKU0002,215,,22,148
2024-10-14,SKU0002,135,527.0,22,148
2024-10-21,SKU0002,60,527.0,22,148
2024-10-28,SKU0002,0,527.0,22,148
2024-11-04,SKU0002,514,0.0,22,148
2024-11-11,SKU0002,411,0.0,22,148
2024-11-18,SKU0002,341,0.0,22,148
2024-11-25,SKU0002,231,0.0,22,148
2024-12-02,SKU0002,120,573.0,22,148
2024-12-09,SKU0002,25,573.0,22,148
2024-12-16,SKU0002,0,573.0,22,148
2024-12-23,SKU0002,545,0.0,22,148
2024-12-30,SKU0002,442,0.0,22,148
2025-01-06,SKU0002,317,0.0,22,148
2025-01-13,SKU0002,205,0.0,22,148
2025-01-20,SKU0002,105,603.0,22,148
2025-01-27,SKU0002,15,603.0,22,148
2025-02-03,SKU0002,0,603.0,22,148
2025-02-10,SKU0002,575,0.0,22,148
2025-02-17,SKU0002,491,0.0,22,148
2025-02-24,SKU0002,416,0.0,22,148
2025-03-03,SKU0002,316,0.0,22,148
2025-03-10,SKU0002,230,0.0,22,148
2025-03-17,SKU0002,149,0.0,22,148
2025-03-24,SKU0002,51,455.0,22,148
2025-03-31,SKU0002,0,455.0,22,148
2025-04-07,SKU0002,0,455.0,22,148
2025-04-14,SKU0002,337,0.0,22,148
2025-04-21,SKU0002,239,0.0,22,148
2025-04-28,SKU0002,150,,22,148
2025-05-05,SKU0002,50,429.0,22,148
2025-05-12,SKU0002,0,429.0,22,148
2025-05-19,SKU0002,0,429.0,22,148
2025-05-26,SKU0002,345,0.0,22,148
2025-06-02,SKU0002,264,0.0,22,148
2025-06-09,SKU0002,176,0.0,22,148
2025-06-16,SKU0002,92,399.0,22,148
2025-06-23,SKU0002,7,399.0,22,148
2025-06-30,SKU0002,0,399.0,22,148
2025-07-07,SKU0002,359,0.0,22,148
2025-07-14,SKU0002,280,0.0,22,148
2025-07-21,SKU0002,170,0.0,22,148
2025-07-28,SKU0002,93,385.0,22,148
2025-08-04,SKU0002,7,385.0,22,148
2025-08-11,SKU0002,0,385.0,22,148
2025-08-18,SKU0002,339,0.0,22,148
2025-08-25,SKU0002,259,0.0,22,148
2025-09-01,SKU0002,174,0.0,22,148
2025-09-08,SKU0002,72,391.0,22,148
2025-09-15,SKU0002,0,391.0,22,148
2025-09-22,SKU0002,0,391.0,22,148
2025-09-29,SKU0002,344,0.0,22,148
2025-10-06,SKU0002,255,0.0,22,148
2025-10-13,SKU0002,167,0.0,22,148
2025-10-20,SKU0002,86,416.0,22,148
2025-10-27,SKU0002,6,416.0,22,148
2025-11-03,SKU0002,0,416.0,22,148
2025-11-10,SKU0002,343,0.0,22,148
2025-11-17,SKU0002,252,0.0,22,148
2025-11-24,SKU0002,174,0.0,22,148
2025-12-01,SKU0002,72,595.0,22,148
2025-12-08,SKU0002,0,595.0,22,148
2025-12-15,SKU0002,0,595.0,22,148
2025-12-22,SKU0002,502,0.0,22,148
2025-12-29,SKU0002,408,0.0,22,148
2024-01-01,SKU0003,118,815.0,18,467
2024-01-08,SKU0003,0,815.0,18,467
