date,sku_id,units_sold,revenue,unit_price,promo_flag
01/01/2024,SKU0001,46,7385.76,160.56,0
2024-01-02,SKU0001,6,963.36,160.56,0
2024-01-03,SKU0001,0,0.0,160.56,0
2024-01-04,SKU0001,0,0.0,160.56,0
05-01-2024,SKU0001,0,0.0,160.56,1
06-01-2024,SKU0001,0,0.0,160.56,1
2024-01-07,SKU0001,0,0.0,160.56,1
2024-01-08,SKU0001,0,0.0,160.56,1
2024-01-09,SKU0001,0,0.0,160.56,0
10-01-2024,SKU0001,0,0.0,160.56,0
2024-01-11,SKU0001,0,0.0,160.56,0
01/12/2024,SKU0001,0,0.0,160.56,0
13-01-2024,SKU0001,0,0.0,160.56,0
2024-01-14,SKU0001,0,0.0,160.56,0
2024-01-15,SKU0001,0,0.0,160.56,0
2024-01-16,SKU0001,0,0.0,160.56,0
2024-01-17,SKU0001,39,6261.84,160.56,0
2024-01-18,SKU0001,34,5459.04,160.56,0
2024-01-19,SKU0001,44,7064.64,160.56,0
2024-01-20,SKU0001,39,6261.84,160.56,0
2024-01-21,SKU0001,43,6904.08,160.56,0
2024-01-22,SKU0001,31,4977.36,160.56,0
2024-01-23,SKU0001,38,6101.28,160.56,0
2024-01-24,SKU0001,47,7546.32,160.56,0
2024-01-25,SKU0001,33,5298.48,160.56,0
26-01-2024,SKU0001,34,5459.04,160.56,0
01/27/2024,SKU0001,51,8188.56,160.56,0
2024-01-28,SKU0001,57,9151.92,160.56,0
29-01-2024,SKU0001,39,6261.84,160.56,0
2024-01-30,SKU0001,33,5298.48,160.56,0
2024-01-31,SKU0001,42,6743.52,160.56,0
2024-02-01,SKU0001,38,6101.28,160.56,0
2024-02-02,SKU0001,32,5137.92,160.56,0
2024-02-03,SKU0001,44,7064.64,160.56,0
2024-02-04,SKU0001,51,8188.56,160.56,0
2024-02-05,SKU0001,45,7225.2,160.56,0
2024-02-06,SKU0001,30,4816.8,160.56,0
2024-02-07,SKU0001,35,5619.6,160.56,0
2024-02-08,SKU0001,47,7546.32,160.56,0
2024-02-09,SKU0001,30,4816.8,160.56,0
2024-02-10,SKU0001,40,6422.4,,0
2024-02-11,SKU0001,40,6422.4,160.56,0
2024-02-12,SKU0001,30,4816.8,160.56,0
02/13/2024,SKU0001,29,4656.24,160.56,0
2024-02-14,SKU0001,42,6743.52,160.56,0
02/15/2024,SKU0001,32,5137.92,160.56,0
2024-02-16,SKU0001,32,5137.92,160.56,0
2024-02-17,SKU0001,47,7546.32,160.56,0
2024-02-18,SKU0001,34,5459.04,160.56,0
2024-02-19,SKU0001,26,4174.56,160.56,0
2024-02-20,SKU0001,26,4174.56,160.56,0
2024-02-21,SKU0001,24,3853.44,160.56,0
2024-02-22,SKU0001,0,0.0,160.56,0
23-02-2024,SKU0001,0,0.0,160.56,0
2024-02-24,SKU0001,0,0.0,160.56,0
2024-02-25,SKU0001,0,0.0,160.56,0
2024-02-26,SKU0001,25,4014.0,160.56,0
2024-02-27,SKU0001,27,4335.12,160.56,0
02/28/2024,SKU0001,40,6422.4,160.56,0
2024-02-29,SKU0001,30,4816.8,160.56,0
03/01/2024,SKU0001,31,4977.36,160.56,0
2024-03-02,SKU0001,40,6422.4,160.56,0
2024-03-03,SKU0001,41,6582.96,160.56,0
03/04/2024,SKU0001,32,5137.92,160.56,0
2024-03-05,SKU0001,33,5298.48,160.56,0
2024-03-06,SKU0001,29,4656.24,160.56,0
2024-03-07,SKU0001,23,3692.88,160.56,0
03/08/2024,SKU0001,36,5780.16,160.56,0
2024-03-09,SKU0001,35,5619.6,160.56,0
2024-03-10,SKU0001,46,7385.76,160.56,0
2024-03-11,SKU0001,33,5298.48,160.56,0
2024-03-12,SKU0001,30,4816.8,160.56,0
13-03-2024,SKU0001,33,5298.48,160.56,0
2024-03-14,SKU0001,32,5137.92,160.56,0
2024-03-15,SKU0001,35,5619.6,160.56,0
2024-03-16,SKU0001,40,6422.4,160.56,0
03/17/2024,SKU0001,37,5940.72,160.56,0
2024-03-18,SKU0001,29,4656.24,160.56,0
2024-03-19,SKU0001,27,4335.12,160.56,0
2024-03-20,SKU0001,35,5619.6,160.56,0
03/21/2024,SKU0001,25,4014.0,160.56,0
03/22/2024,SKU0001,38,6101.28,160.56,0
2024-03-23,SKU0001,30,4816.8,160.56,0
24-03-2024,SKU0001,39,6261.84,160.56,0
2024-03-25,SKU0001,29,4656.24,160.56,0
2024-03-26,SKU0001,29,4656.24,160.56,0
2024-03-27,SKU0001,35,5619.6,160.56,0
2024-03-28,SKU0001,26,4174.56,160.56,0
03/29/2024,SKU0001,37,5940.72,160.56,0
2024-03-30,SKU0001,40,6422.4,160.56,0
2024-03-31,SKU0001,43,6904.08,160.56,0
2024-04-01,SKU0001,33,5298.48,160.56,0
2024-04-02,SKU0001,32,5137.92,160.56,0
2024-04-03,SKU0001,29,4656.24,160.56,0
2024-04-04,SKU0001,24,3853.44,160.56,0
2024-04-05,SKU0001,0,0.0,160.56,0
2024-04-06,SKU0001,0,0.0,160.56,0
2024-04-07,SKU0001,0,0.0,160.56,0
2024-04-08,SKU0001,0,0.0,160.56,0
2024-04-09,SKU0001,32,5137.92,,0
04/10/2024,SKU0001,40,6422.4,160.56,1
2024-04-11,SKU0001,57,9151.92,160.56,1
2024-04-12,SKU0001,45,7225.2,160.56,1
13-04-2024,SKU0001,65,10436.4,160.56,1
2024-04-14,SKU0001,43,6904.08,160.56,1
2024-04-15,SKU0001,36,5780.16,160.56,0
2024-04-16,SKU0001,30,4816.8,160.56,0
2024-04-17,SKU0001,31,4977.36,160.56,0
2024-04-18,SKU0001,29,4656.24,160.56,0
2024-04-19,SKU0001,46,7385.76,160.56,0
2024-04-20,SKU0001,32,5137.92,160.56,0
2024-04-21,SKU0001,56,8991.36,160.56,0
04/22/2024,SKU0001,37,5940.72,160.56,0
2024-04-23,SKU0001,30,4816.8,160.56,0
2024-04-24,SKU0001,33,5298.48,160.56,0
2024-04-25,SKU0001,29,4656.24,160.56,0
26-04-2024,SKU0001,27,4335.12,160.56,0
2024-04-27,SKU0001,29,4656.24,160.56,0
28-04-2024,SKU0001,45,7225.2,160.56,0
2024-04-29,SKU0001,40,6422.4,160.56,0
2024-04-30,SKU0001,15,2408.4,,0
01-05-2024,SKU0001,25,4014.0,160.56,0
2024-05-02,SKU0001,25,4014.0,160.56,0
05/03/2024,SKU0001,24,3853.44,160.56,0
05/04/2024,SKU0001,33,5298.48,160.56,0
05/05/2024,SKU0001,50,8028.0,160.56,0
2024-05-06,SKU0001,32,5137.92,160.56,0
