sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Furniture,Shelving,07/12/2023,106.12,160.56
SKU0002,Textiles,Throws,2022-12-07,118.98,18486.0
SKU0003,Textiles,Throws,2023-10-20,98.36,234.82
SKU0004,Textiles,Throws,2023-07-08,85.41,126.11
SKU0005,Textile,Curtains,10/27/2023,56.41,144.68
SKU0006,Lighting,Floor Lamps,01/09/2023,33.22,65.11
SKU0007,Small Appliances,Kettles,03/10/2023,112.99,289.37
SKU0008,Lighting,Floor Lamps,2023-08-24,73.09,118.94
SKU0009,Small Appliances,Kettles,2023-08-22,102.12,196.54
SKU0010,Decor,Wall Art,2023-02-02,50.29,120.63
SKU0011,Small Appliances,Fans,01/07/2023,,162.98
SKU0012,DECOR ,Rugs,2024-09-30,119.1,261.76
SKU0013,Small Appliances,Heaters,2023-05-24,87.47,137.13
SKU0014,Small Appliances,Kettles,2023-11-17,73.31,152.36
SKU0015,Furniture,Shelving,2023-05-20,86.09,151.93
SKU0016,Small Appliances,Heaters,12/20/2023,36.11,68.26
SKU0017,TEXTILES,Curtains,2023-02-07,45.8,80.26
SKU0018,Furniture,Tables,04/12/2023,118.67,260.74
SKU0019,Small Appliance,Blenders,2023-08-26,8.29,12.5
SKU0020,Furniture,Shelving,03/19/2023,28.38,56.8
SKU0021,Textiles,Cushions,06/17/2023,60.25,106.15
SKU0022,Small Appliances,Heaters,2023-04-24,17.71,27.3
SKU0023,Decor,Rugs,06/17/2023,43.55,111.62
SKU0024,Lighting,Table Lamps,2023-02-24,70.16,121.14
SKU0025,Furniture,Chairs,2023-11-11,34.34,60.68
SKU0026,Small Appliances,Fans,05/15/2023,129.21,298.5
SKU0027,Small Appliances,Heaters,2023-08-31,89.69,195.51
SKU0028,Lighting ,Floor Lamps,2023-11-29,11.03,21.98
SKU0029,Furnitur,Tables,2025-05-13,90.21,144.76
SKU0030,furniture,Tables,2022-12-27,,116.63
SKU0031,Decor,Wall Art,2023-07-18,118.5,177.66
SKU0032,SMALL APPLIANCES,Blenders,06/21/2023,140.98,294.09
SKU0033,Small Appliances,Blenders,12/16/2022,80.5,155.1
SKU0034,Decor,Vases,12/24/2023,134.94,211.63
SKU0035,Décor,Candles,2025-05-08,45.78,100.32
SKU0036,lighting,String Lights,2023-03-17,,51.53
SKU0037,Textiles,Cushions,2024-09-03,58.78,140.82
SKU0038,Small Appliances,Blenders,2023-02-12,143.17,250.42
SKU0039,lighting,Floor Lamps,2022-12-01,28.87,41.97
SKU0040,Textiles,Cushions,2023-07-11,134.29,308.64
SKU0041,Textile,Curtains,2023-11-16,50.81,118.21
SKU0042,Small Appliances,Blenders,2023-04-12,18.7,42.94
SKU0043,Decor,Vases,12/18/2022,22.8,54.66
SKU0044,Decor,Rugs,11/01/2023,91.91,225.13
SKU0045,FURNITURE,Chairs,2022-11-28,145.91,291.95
SKU0046,Lighting,Floor Lamps,2024-09-04,38.3,59.68
SKU0047,Furniture,Sofas,2024-11-15,105.67,221.63
SKU0048,Small Appliance,Blenders,10/14/2023,108.73,248.64
SKU0049,Textiles,Cushions,2025-03-22,62.65,110.34
SKU0050,Textiles,Cushions,06/20/2023,143.57,250.35
SKU0051,Textiles,Curtains,04/05/2025,96.93,148.02
SKU0052,small appliances,Heaters,11/06/2023,145.1,306.92
SKU0053,Furniture,Shelving,07/13/2023,118.79,168.85
SKU0054,Small Appliances,Heaters,2023-11-19,120.54,202.41
SKU0055,Decor,Candles,2022-12-24,,175.2
